代码,名称,层级,成本价,持仓量,买入日期
000338,潍柴动力,埋伏,,,
000400,许继电气,埋伏,,,
000426,兴业银锡,埋伏,,,
000603,盛达资源,埋伏,,,
000792,盐湖股份,埋伏,,,
000833,粤桂股份,埋伏,,,
000968,蓝焰控股,埋伏,,,
000969,安泰科技,埋伏,,,
000977,浪潮信息,埋伏,,,
000988,华工科技,埋伏,,,
002008,大族激光,埋伏,,,
002028,思源电气,埋伏,,,
002050,三花智控,埋伏,,,
002080,中材科技,埋伏,,,
002130,沃尔核材,埋伏,,,
002156,通富微电,埋伏,,,
002158,汉钟精机,埋伏,,,
002179,中航光电,埋伏,,,
002185,华天科技,埋伏,,,
002222,福晶科技,埋伏,,,
002273,水晶光电,埋伏,,,
002281,光迅科技,埋伏,,,
002335,科华数据,埋伏,,,
002371,北方华创,埋伏,,,
002384,东山精密,埋伏,,,
002407,多氟多,观察,,,
002409,雅克科技,埋伏,,,
002441,众业达,埋伏,,,
002460,赣锋锂业,埋伏,,,
002463,沪电股份,埋伏,,,
002466,天齐锂业,观察,,,
002472,双环传动,埋伏,,,
002475,立讯精密,埋伏,,,
002484,江海股份,埋伏,,,
002517,恺英网络,埋伏,,,
002518,科士达,埋伏,,,
002709,天赐材料,埋伏,,,
002714,牧原股份,观察,,,
002716,湖南白银,埋伏,,,
002802,洪汇新材,埋伏,,,
002897,意华股份,埋伏,,,
002916,深南电路,埋伏,,,
003031,中瓷电子,埋伏,,,
003816,中国广核,埋伏,,,
600026,中远海能,埋伏,,,
600096,云天化,埋伏,,,
600111,北方稀土,埋伏,,,
600141,兴发集团,观察,,,
600160,巨化股份,埋伏,,,
600183,生益科技,埋伏,,,
600211,XD西藏药,埋伏,,,
600259,中稀有色,观察,,,
600354,敦煌种业,埋伏,,,
600367,红星发展,埋伏,,,
600392,盛和资源,埋伏,,,
600406,国电南瑞,埋伏,,,
600487,亨通光电,埋伏,,,
600498,烽火通信,埋伏,,,
600583,海油工程,埋伏,,,
600584,长电科技,埋伏,,,
600711,盛屯矿业,观察,,,
600875,东方电气,观察,,,
600989,宝丰能源,埋伏,,,
601096,宏盛华源,观察,,,
601138,工业富联,埋伏,,,
601208,东材科技,观察,,,
601600,中国铝业,观察,,,
601689,XD拓普集,观察,,,
601727,上海电气,埋伏,,,
601877,正泰电器,埋伏,,,
601985,中国核电,埋伏,,,
603004,鼎龙科技,埋伏,,,
603005,晶方科技,埋伏,,,
603019,中科曙光,埋伏,,,
603078,江化微,埋伏,,,
603127,昭衍新药,埋伏,,,
603186,华正新材,埋伏,,,
603191,望变电气,埋伏,,,
603228,景旺电子,埋伏,,,
603379,三美股份,埋伏,,,
603772,,观察,,,
603893,瑞芯微,埋伏,,,
603986,兆易创新,埋伏,,,
603993,洛阳钼业,埋伏,,,
605020,永和股份,埋伏,,,
605589,圣泉集团,埋伏,,,
600176,中国巨石,埋伏,,,
