代码,名称,层级,成本价,持仓量,买入日期
000338,,核心,,,
000400,,核心,,,
000426,,核心,,,
000603,,核心,,,
000762,,核心,,,
000792,,核心,,,
000833,,核心,,,
000878,,核心,,,
000968,,核心,,,
000969,,核心,,,
000977,,核心,,,
000988,,核心,,,
001269,,核心,,,
001280,,核心,,,
002008,,核心,,,
002028,,核心,,,
002050,,核心,,,
002080,,核心,,,
002129,,核心,,,
002130,,核心,,,
002156,,核心,,,
002158,,核心,,,
002179,,核心,,,
002185,,核心,,,
002222,,核心,,,
002273,,核心,,,
002281,,核心,,,
002335,,核心,,,
002364,,核心,,,
002371,,核心,,,
002384,,核心,,,
002407,,核心,,,
002409,,核心,,,
002428,,核心,,,
002436,,核心,,,
002441,,核心,,,
002460,,核心,,,
002463,,核心,,,
002466,,核心,,,
002472,,核心,,,
002475,,核心,,,
002484,,核心,,,
002517,,核心,,,
002518,,核心,,,
002709,,核心,,,
688126,,核心,,,
002714,,核心,,,
002716,,核心,,,
002802,,核心,,,
002837,,核心,,,
002851,,核心,,,
002897,,核心,,,
002916,,核心,,,
003031,,核心,,,
003816,,核心,,,
300014,,核心,,,
300037,,核心,,,
300054,,核心,,,
300207,,核心,,,
300252,,核心,,,
300274,,核心,,,
300308,,核心,,,
300346,,核心,,,
300376,,核心,,,
300394,,核心,,,
300395,,核心,,,
300442,,核心,,,
300499,,核心,,,
300502,,核心,,,
300563,,核心,,,
300567,,核心,,,
300570,,核心,,,
300602,,核心,,,
300604,,核心,,,
300655,,核心,,,
300666,,核心,,,
300684,,核心,,,
300750,,核心,,,
300757,,核心,,,
300820,,核心,,,
300870,,核心,,,
301018,,核心,,,
301095,,核心,,,
301165,,核心,,,
301217,,核心,,,
301269,,核心,,,
301511,,核心,,,
600026,,核心,,,
600096,,核心,,,
600110,,核心,,,
600111,,核心,,,
600141,,核心,,,
600160,,核心,,,
600183,,核心,,,
600206,,核心,,,
600211,,核心,,,
600259,,核心,,,
600354,,核心,,,
600367,,核心,,,
600392,,核心,,,
600397,,核心,,,
600406,,核心,,,
600438,,核心,,,
600487,,核心,,,
600498,,核心,,,
600583,,核心,,,
600584,,核心,,,
600641,,核心,,,
600703,,核心,,,
600711,,核心,,,
600875,,核心,,,
600989,,核心,,,
601096,,核心,,,
601138,,核心,,,
601208,,核心,,,
601600,,核心,,,
601689,,核心,,,
601727,,核心,,,
601869,,核心,,,
601877,,核心,,,
601985,,核心,,,
603004,,核心,,,
603005,,核心,,,
603019,,核心,,,
603078,,核心,,,
603083,,核心,,,
603127,,核心,,,
603186,,核心,,,
603191,,核心,,,
603228,,核心,,,
603256,,核心,,,
603296,,核心,,,
603379,,核心,,,
603667,,核心,,,
603688,,核心,,,
603690,,核心,,,
603772,,核心,,,
603773,,核心,,,
603893,,核心,,,
603912,,核心,,,
603986,,核心,,,
603993,,核心,,,
605020,,核心,,,
605589,,核心,,,
688008,,核心,,,
688012,,核心,,,
688019,,核心,,,
688035,,核心,,,
688037,,核心,,,
688041,,核心,,,
688048,,核心,,,
688072,,核心,,,
688082,,核心,,,
688106,,核心,,,
688120,,核心,,,
688138,,核心,,,
688147,,核心,,,
688158,,核心,,,
688200,,核心,,,
688206,,核心,,,
688249,,核心,,,
688256,,核心,,,
688268,,核心,,,
688303,,核心,,,
688313,,核心,,,
688347,,核心,,,
688361,,核心,,,
688388,,核心,,,
688409,,核心,,,
688498,,核心,,,
688519,,核心,,,
688521,,核心,,,
688535,,核心,,,
688676,,核心,,,
688702,,核心,,,
688981,,核心,,,
838402,,核心,,,
872808,,核心,,,
885573,,核心,,,
886015,,核心,,,
